slide,file,source,width,height,kb,kind,duplicate_of
1,s01-01-image1.jpg,image1.jpeg,2202,1468,352,photo,
1,s01-02-image2.png,image2.png,350,350,15,logo/graphic,
2,s02-01-image3.jpg,image3.jpeg,2400,3600,1894,photo,
3,s03-01-image4.jpg,image4.jpeg,1584,1735,1001,photo,
5,s05-01-image5.png,image5.png,285,287,21,logo/graphic,
5,s05-02-image6.png,image6.png,402,300,15,logo/graphic,
5,s05-03-image7.png,image7.png,261,168,16,logo/graphic,
5,s05-04-image8.png,image8.png,354,119,12,logo/graphic,
5,s05-05-image9.png,image9.png,402,128,62,logo/graphic,
5,s05-06-image10.png,image10.png,343,132,27,logo/graphic,
5,s05-07-image11.png,image11.png,196,196,30,logo/graphic,
5,s05-08-image12.png,image12.png,503,503,24,logo/graphic,
5,s05-09-image13.png,image13.png,441,384,22,logo/graphic,
5,s05-10-image14.png,image14.png,633,633,63,photo,
5,s05-11-image15.png,image15.png,280,378,129,logo/graphic,
5,s05-12-image16.jpg,image16.jpeg,516,933,179,photo,
5,s05-13-image17.png,image17.png,200,244,58,logo/graphic,
5,s05-14-image18.png,image18.png,240,324,89,logo/graphic,
5,s05-15-image19.png,image19.png,216,274,52,logo/graphic,
5,s05-16-image20.png,image20.png,800,269,99,logo/graphic,
5,s05-17-image21.png,image21.png,674,217,96,logo/graphic,
5,s05-18-image22.png,image22.png,693,261,108,logo/graphic,
5,s05-19-image23.png,image23.png,145,49,2,logo/graphic,
5,s05-20-image24.svg,image24.svg,,,1,svg,
5,s05-21-image25.png,image25.png,374,50,6,logo/graphic,
5,s05-22-image26.svg,image26.svg,,,2,svg,
5,s05-23-image27.png,image27.png,490,119,57,logo/graphic,
5,s05-24-image28.jpg,image28.jpeg,288,198,14,logo/graphic,
5,s05-25-image29.jpg,image29.jpeg,319,164,22,logo/graphic,
5,s05-26-image30.png,image30.png,159,48,4,logo/graphic,
5,s05-27-image31.svg,image31.svg,,,3,svg,
5,s05-28-image32.png,image32.png,116,50,4,logo/graphic,
5,s05-29-image33.svg,image33.svg,,,7,svg,
5,s05-30-image34.png,image34.png,142,52,4,logo/graphic,
5,s05-31-image35.svg,image35.svg,,,3,svg,
5,s05-32-image36.png,image36.png,374,110,18,logo/graphic,
5,s05-33-image37.png,image37.png,100,72,6,logo/graphic,
5,s05-34-image38.png,image38.png,222,46,11,logo/graphic,
5,s05-35-image39.jpg,image39.jpeg,512,1108,223,photo,
5,s05-36-image40.jpg,image40.jpeg,512,1108,222,photo,
5,s05-38-image41.png,image41.png,480,126,14,logo/graphic,
6,s05-03-image7.png,image7.png,261,168,16,logo/graphic,s05-03-image7.png
6,s05-04-image8.png,image8.png,354,119,12,logo/graphic,s05-04-image8.png
6,s06-03-image42.png,image42.png,768,432,47,photo,
6,s06-04-image43.png,image43.png,356,123,13,logo/graphic,
6,s06-05-image44.png,image44.png,594,600,24,photo,
6,s06-06-image45.png,image45.png,225,225,8,logo/graphic,
6,s06-07-image46.png,image46.png,750,318,26,photo,
6,s06-08-image47.png,image47.png,256,256,7,logo/graphic,
6,s06-09-image48.png,image48.png,430,93,18,logo/graphic,
6,s06-10-image49.png,image49.png,512,92,14,logo/graphic,
6,s06-11-image50.png,image50.png,768,432,19,photo,
6,s06-12-image51.png,image51.png,384,307,45,logo/graphic,
6,s06-13-image52.png,image52.png,512,139,32,logo/graphic,
6,s06-14-image53.png,image53.png,480,176,29,logo/graphic,
6,s06-15-image54.png,image54.png,480,270,18,logo/graphic,
6,s06-16-image55.png,image55.png,683,60,17,logo/graphic,
6,s06-17-image56.png,image56.png,576,92,20,logo/graphic,
6,s06-18-image57.png,image57.png,512,141,20,logo/graphic,
6,s06-19-image58.png,image58.png,768,162,45,logo/graphic,
6,s06-20-image59.png,image59.png,584,92,19,logo/graphic,
6,s06-21-image60.png,image60.png,426,97,14,logo/graphic,
6,s06-22-image61.png,image61.png,809,425,32,photo,
6,s06-23-image62.png,image62.png,615,131,63,logo/graphic,
6,s06-24-image63.png,image63.png,400,400,20,logo/graphic,
6,s06-25-image64.png,image64.png,480,252,18,logo/graphic,
6,s06-26-image65.png,image65.png,570,92,30,logo/graphic,
6,s06-27-image66.png,image66.png,359,360,8,logo/graphic,
6,s06-28-image67.png,image67.png,600,314,21,photo,
6,s06-29-image68.png,image68.png,435,116,8,logo/graphic,
6,s06-30-image69.png,image69.png,480,252,33,logo/graphic,
7,s07-01-image70.png,image70.png,192,192,35,logo/graphic,
7,s07-02-image71.png,image71.png,192,193,66,logo/graphic,
7,s07-03-image72.png,image72.png,600,600,34,photo,
7,s07-04-image73.png,image73.png,192,192,50,logo/graphic,
7,s07-05-image74.png,image74.png,150,150,23,logo/graphic,
7,s07-06-image75.png,image75.png,268,336,36,logo/graphic,
7,s07-07-image76.svg,image76.svg,,,39,svg,
7,s07-08-image77.png,image77.png,158,158,43,logo/graphic,
7,s07-09-image78.png,image78.png,252,252,41,logo/graphic,
7,s07-10-image79.svg,image79.svg,,,389,svg,
7,s07-11-image80.png,image80.png,150,150,34,logo/graphic,
7,s07-12-image81.png,image81.png,252,253,34,logo/graphic,
7,s07-13-image82.svg,image82.svg,,,72,svg,
7,s07-14-image83.png,image83.png,352,320,39,logo/graphic,
7,s07-15-image84.svg,image84.svg,,,35,svg,
7,s07-16-image85.png,image85.png,213,213,25,logo/graphic,
7,s07-17-image86.svg,image86.svg,,,48,svg,
7,s07-18-image87.png,image87.png,267,267,44,logo/graphic,
7,s07-19-image88.svg,image88.svg,,,44,svg,
7,s07-20-image89.png,image89.png,324,324,104,logo/graphic,
7,s07-21-image90.png,image90.png,252,252,40,logo/graphic,
7,s07-22-image91.svg,image91.svg,,,69,svg,
7,s07-23-image92.png,image92.png,256,256,82,logo/graphic,
7,s07-24-image93.png,image93.png,252,252,42,logo/graphic,
7,s07-25-image94.svg,image94.svg,,,68,svg,
7,s07-26-image95.png,image95.png,150,150,32,logo/graphic,
7,s07-27-image96.png,image96.png,267,267,53,logo/graphic,
7,s07-28-image97.svg,image97.svg,,,48,svg,
7,s07-29-image98.png,image98.png,150,150,34,logo/graphic,
7,s07-30-image99.png,image99.png,252,252,29,logo/graphic,
7,s07-31-image100.svg,image100.svg,,,32,svg,
7,s07-32-image101.png,image101.png,158,158,40,logo/graphic,
7,s07-33-image102.png,image102.png,308,308,77,logo/graphic,
7,s07-34-image103.png,image103.png,417,384,133,logo/graphic,
7,s07-35-image104.png,image104.png,255,72,8,logo/graphic,
7,s07-36-image105.png,image105.png,572,89,26,logo/graphic,
7,s07-37-image106.png,image106.png,384,384,112,logo/graphic,
7,s07-38-image107.png,image107.png,110,112,15,logo/graphic,
7,s07-39-image108.png,image108.png,497,509,55,logo/graphic,
7,s07-40-image109.png,image109.png,209,163,9,logo/graphic,
7,s07-41-image110.png,image110.png,290,102,13,logo/graphic,
7,s07-42-image111.png,image111.png,312,381,79,logo/graphic,
7,s07-43-image112.png,image112.png,442,192,22,logo/graphic,
7,s07-44-image113.png,image113.png,263,100,22,logo/graphic,
7,s07-45-image114.png,image114.png,99,102,13,logo/graphic,
7,s07-46-image115.png,image115.png,352,45,20,logo/graphic,
7,s07-47-image116.png,image116.png,300,136,18,logo/graphic,
7,s07-48-image117.png,image117.png,135,135,29,logo/graphic,
7,s07-49-image118.png,image118.png,300,300,46,logo/graphic,
8,s08-02-image119.png,image119.png,512,296,21,logo/graphic,
8,s08-03-image120.png,image120.png,265,60,11,logo/graphic,
8,s08-04-image121.png,image121.png,200,200,12,logo/graphic,
8,s08-05-image122.png,image122.png,480,131,18,logo/graphic,
8,s08-06-image123.png,image123.png,357,390,34,logo/graphic,
8,s08-07-image124.png,image124.png,358,358,11,logo/graphic,
8,s08-08-image125.png,image125.png,600,385,75,photo,
8,s08-09-image126.png,image126.png,842,591,7,photo,
8,s08-10-image127.png,image127.png,500,281,26,logo/graphic,
8,s08-11-image128.png,image128.png,336,176,24,logo/graphic,
8,s08-12-image129.png,image129.png,350,98,10,logo/graphic,
